created_at,entry_id,Water flow,Amount of water,latitude,longitude,elevation,status
2024-11-17T08:02:57+00:00,53,0,6245,,,,
2024-11-17T08:03:13+00:00,54,0,6245,,,,
2024-11-17T08:03:29+00:00,55,0,6245,,,,
2024-11-17T08:03:45+00:00,56,0,6245,,,,
2024-11-17T08:04:01+00:00,57,0,6245,,,,
2024-11-17T08:04:17+00:00,58,0,6245,,,,
2024-11-17T08:04:33+00:00,59,0,6245,,,,
2024-11-17T08:04:49+00:00,60,0,6245,,,,
2024-11-17T08:05:05+00:00,61,0,6245,,,,
2024-11-17T08:05:20+00:00,62,0,6245,,,,
2024-11-17T08:05:36+00:00,63,0,6245,,,,
2024-11-17T08:05:52+00:00,64,0,6245,,,,
2024-11-17T08:06:08+00:00,65,0,6245,,,,
2024-11-17T08:06:24+00:00,66,0,6245,,,,
2024-11-17T08:06:40+00:00,67,0,6245,,,,
2024-11-17T08:06:56+00:00,68,0,6245,,,,
2024-11-17T08:07:12+00:00,69,0,6245,,,,
2024-11-17T08:07:28+00:00,70,0,6245,,,,
2024-11-17T08:07:44+00:00,71,0,6245,,,,
2024-11-17T08:08:00+00:00,72,0,6245,,,,
2024-11-17T08:08:16+00:00,73,0,6245,,,,
2024-11-17T08:08:32+00:00,74,0,6245,,,,
2024-11-17T08:08:47+00:00,75,0,6245,,,,
2024-11-17T08:09:03+00:00,76,0,6245,,,,
2024-11-17T08:09:19+00:00,77,0,6245,,,,
2024-11-17T08:09:35+00:00,78,0,6245,,,,
2024-11-17T08:09:51+00:00,79,0,6245,,,,
2024-11-17T08:10:07+00:00,80,0,6245,,,,
2024-11-17T08:10:23+00:00,81,0,6245,,,,
2024-11-17T08:10:40+00:00,82,0,6245,,,,
2024-11-17T08:10:55+00:00,83,0,6245,,,,
2024-11-17T08:11:11+00:00,84,0,6245,,,,
2024-11-17T08:11:27+00:00,85,0,6245,,,,
2024-11-17T08:11:43+00:00,86,0,6245,,,,
2024-11-17T08:11:59+00:00,87,0,6245,,,,
2024-11-17T08:12:15+00:00,88,0,6245,,,,
2024-11-17T08:12:31+00:00,89,0,6245,,,,
2024-11-17T08:12:47+00:00,90,0,6245,,,,
2024-11-17T08:13:03+00:00,91,0,6245,,,,
2024-11-17T08:13:19+00:00,92,0,6245,,,,
2024-11-17T08:13:35+00:00,93,0,6245,,,,
2024-11-17T08:13:51+00:00,94,0,6245,,,,
2024-11-17T08:14:07+00:00,95,0,6245,,,,
2024-11-17T08:14:23+00:00,96,0,6245,,,,
2024-11-17T08:14:39+00:00,97,0,6245,,,,
2024-11-17T08:14:54+00:00,98,0,6245,,,,
2024-11-17T08:15:09+00:00,99,0,6245,,,,
2024-11-17T08:15:25+00:00,100,0,6245,,,,
2024-11-17T08:15:41+00:00,101,0,6245,,,,
2024-11-17T08:15:56+00:00,102,0,6245,,,,
2024-11-17T08:16:12+00:00,103,0,6245,,,,
2024-11-17T08:16:27+00:00,104,0,6245,,,,
2024-11-17T08:16:44+00:00,105,0,6245,,,,
2024-11-17T08:16:59+00:00,106,0,6245,,,,
2024-11-17T08:17:14+00:00,107,0,6245,,,,
2024-11-17T08:17:30+00:00,108,0,6245,,,,
2024-11-17T08:17:46+00:00,109,0,6245,,,,
2024-11-17T08:18:03+00:00,110,0,6245,,,,
2024-11-17T08:18:18+00:00,111,0,8884,,,,
2024-11-17T08:18:34+00:00,112,0,10512,,,,
2024-11-17T08:18:50+00:00,113,0,10512,,,,
2024-11-17T08:19:06+00:00,114,0,10512,,,,
2024-11-17T08:19:22+00:00,115,0,10512,,,,
2024-11-17T08:19:38+00:00,116,0,10512,,,,
2024-11-17T08:19:54+00:00,117,0,10512,,,,
2024-11-17T08:20:10+00:00,118,0,10512,,,,
2024-11-17T08:20:26+00:00,119,0,10512,,,,
2024-11-17T08:20:41+00:00,120,0,10512,,,,
2024-11-17T08:20:56+00:00,121,0,10512,,,,
2024-11-17T08:21:11+00:00,122,0,10512,,,,
2024-11-17T08:21:27+00:00,123,0,10512,,,,
2024-11-17T08:21:42+00:00,124,0,10512,,,,
2024-11-17T08:21:59+00:00,125,0,10512,,,,
2024-11-17T08:22:14+00:00,126,0,10512,,,,
2024-11-17T08:22:30+00:00,127,0,10512,,,,
2024-11-17T08:22:46+00:00,128,17,12172,,,,
2024-11-17T08:23:02+00:00,129,0,12261,,,,
2024-11-17T08:23:18+00:00,130,0,12261,,,,
2024-11-17T08:23:33+00:00,131,0,12261,,,,
2024-11-17T08:23:49+00:00,132,0,12261,,,,
2024-11-17T08:24:05+00:00,133,0,12261,,,,
2024-11-17T08:24:20+00:00,134,0,12261,,,,
2024-11-17T08:24:36+00:00,135,0,12261,,,,
2024-11-17T08:24:52+00:00,136,0,12261,,,,
2024-11-17T08:25:08+00:00,137,0,12261,,,,
2024-11-17T08:25:24+00:00,138,0,12261,,,,
2024-11-17T08:25:39+00:00,139,0,12261,,,,
2024-11-17T08:25:55+00:00,140,0,12261,,,,
2024-11-17T08:26:10+00:00,141,0,12261,,,,
2024-11-17T08:26:27+00:00,142,0,12261,,,,
2024-11-17T08:26:42+00:00,143,0,12261,,,,
2024-11-17T08:26:57+00:00,144,0,12261,,,,
2024-11-17T08:27:13+00:00,145,0,12261,,,,
2024-11-17T08:27:29+00:00,146,0,12559,,,,
2024-11-17T08:27:45+00:00,147,0,12559,,,,
2024-11-17T08:28:01+00:00,148,0,12559,,,,
2024-11-17T08:28:17+00:00,149,0,12559,,,,
2024-11-17T08:28:33+00:00,150,0,12559,,,,
2024-11-17T08:28:49+00:00,151,0,12559,,,,
2024-11-17T08:29:05+00:00,152,0,12559,,,,
2024-11-17T08:29:21+00:00,153,0,12559,,,,
2024-11-17T08:29:37+00:00,154,0,12559,,,,
2024-11-17T08:29:52+00:00,155,0,12559,,,,
2024-11-17T08:30:08+00:00,156,0,12559,,,,
2024-11-17T08:30:24+00:00,157,0,12559,,,,
2024-11-17T08:30:40+00:00,158,0,12559,,,,
2024-11-17T08:30:56+00:00,159,0,12602,,,,
2024-11-17T08:31:12+00:00,160,0,12602,,,,
2024-11-17T08:31:28+00:00,161,0,12798,,,,
2024-11-17T08:31:44+00:00,162,0,12798,,,,
2024-11-17T08:32:00+00:00,163,0,12798,,,,
2024-11-17T08:32:16+00:00,164,0,12798,,,,
2024-11-17T08:32:32+00:00,165,0,12798,,,,
2024-11-17T08:32:48+00:00,166,0,12798,,,,
2024-11-17T08:33:04+00:00,167,0,12798,,,,
2024-11-17T08:33:20+00:00,168,0,12798,,,,
2024-11-17T08:33:36+00:00,169,0,12798,,,,
2024-11-17T08:33:52+00:00,170,0,12798,,,,
2024-11-17T08:34:08+00:00,171,0,12798,,,,
2024-11-17T08:34:24+00:00,172,0,12798,,,,
2024-11-17T08:34:40+00:00,173,0,12798,,,,
2024-11-17T08:34:56+00:00,174,0,12798,,,,
2024-11-17T08:35:12+00:00,175,0,12798,,,,
2024-11-17T08:35:28+00:00,176,0,12798,,,,
2024-11-17T08:35:44+00:00,177,0,12798,,,,
2024-11-17T08:36:00+00:00,178,0,12798,,,,
2024-11-17T08:36:16+00:00,179,0,12798,,,,
2024-11-17T08:36:32+00:00,180,0,12798,,,,
2024-11-17T08:36:48+00:00,181,0,12798,,,,
2024-11-17T08:37:04+00:00,182,0,12798,,,,
2024-11-17T08:37:20+00:00,183,0,12798,,,,
2024-11-17T08:37:35+00:00,184,0,12798,,,,
2024-11-17T08:37:51+00:00,185,0,12798,,,,
2024-11-17T08:38:06+00:00,186,0,12798,,,,
2024-11-17T08:38:22+00:00,187,0,12798,,,,
2024-11-17T08:38:38+00:00,188,0,12798,,,,
2024-11-17T08:38:54+00:00,189,0,12798,,,,
2024-11-17T08:39:09+00:00,190,0,12798,,,,
2024-11-17T08:39:25+00:00,191,0,12798,,,,
2024-11-17T08:39:40+00:00,192,0,12798,,,,
2024-11-17T08:39:55+00:00,193,0,12798,,,,
2024-11-17T08:40:11+00:00,194,0,12798,,,,
2024-11-17T08:40:27+00:00,195,0,12798,,,,
2024-11-17T08:40:43+00:00,196,0,12798,,,,
2024-11-17T08:40:59+00:00,197,0,12798,,,,
2024-11-17T08:41:15+00:00,198,0,12798,,,,
2024-11-17T08:41:30+00:00,199,0,12798,,,,
2024-11-17T08:41:46+00:00,200,0,12798,,,,
2024-11-17T08:42:02+00:00,201,0,12798,,,,
2024-11-17T08:42:17+00:00,202,0,12798,,,,
2024-11-17T08:42:34+00:00,203,0,12798,,,,
2024-11-17T08:42:49+00:00,204,0,12798,,,,
2024-11-17T08:43:05+00:00,205,0,12798,,,,
2024-11-17T08:43:21+00:00,206,0,12798,,,,
2024-11-17T08:43:36+00:00,207,0,12798,,,,
2024-11-17T08:43:52+00:00,208,0,12798,,,,
2024-11-17T08:44:07+00:00,209,0,12798,,,,
2024-11-17T08:44:24+00:00,210,0,12798,,,,
2024-11-17T08:44:40+00:00,211,0,12798,,,,
2024-11-17T08:44:56+00:00,212,0,12798,,,,
2024-11-17T08:45:11+00:00,213,0,12798,,,,
2024-11-17T08:45:27+00:00,214,0,12798,,,,
2024-11-17T08:45:43+00:00,215,0,12798,,,,
2024-11-17T08:45:59+00:00,216,0,12798,,,,
2024-11-17T08:46:15+00:00,217,0,12798,,,,
2024-11-17T08:46:31+00:00,218,0,12798,,,,
2024-11-17T08:46:47+00:00,219,0,12798,,,,
2024-11-17T08:47:02+00:00,220,0,12798,,,,
2024-11-17T08:47:19+00:00,221,0,12798,,,,
2024-11-17T08:47:34+00:00,222,0,12798,,,,
2024-11-17T08:47:50+00:00,223,0,12798,,,,
2024-11-17T08:48:06+00:00,224,0,12798,,,,
2024-11-17T08:48:22+00:00,225,0,12798,,,,
2024-11-17T08:48:38+00:00,226,0,12798,,,,
2024-11-17T08:48:53+00:00,227,0,12798,,,,
2024-11-17T09:59:20+00:00,228,0,0,,,,
2024-11-17T09:59:35+00:00,229,0,0,,,,
2024-11-17T09:59:51+00:00,230,0,0,,,,
2024-11-17T10:00:07+00:00,231,0,0,,,,
2024-11-17T10:00:23+00:00,232,0,0,,,,
2024-11-17T10:00:39+00:00,233,0,0,,,,
2024-11-17T10:00:55+00:00,234,0,0,,,,
2024-11-17T10:01:11+00:00,235,0,0,,,,
2024-11-17T10:01:27+00:00,236,0,0,,,,
2024-11-17T10:01:43+00:00,237,0,0,,,,
2024-11-17T10:01:58+00:00,238,0,0,,,,
2024-11-17T10:02:13+00:00,239,0,0,,,,
2024-11-17T10:02:29+00:00,240,0,0,,,,
2024-11-17T10:02:45+00:00,241,0,0,,,,
2024-11-17T10:03:01+00:00,242,0,0,,,,
2024-11-17T10:03:16+00:00,243,0,0,,,,
2024-11-17T10:03:59+00:00,244,29.00000,5800,,,,15007
2024-11-17T10:04:29+00:00,245,18.00000,16800,,,,45010
2024-11-17T10:05:23+00:00,246,20.00000,2000,,,,15005
2024-11-17T10:05:53+00:00,247,31.00000,10700,,,,45008
2024-11-17T10:06:36+00:00,248,22.00000,5000,,,,15003
2024-11-17T10:07:05+00:00,249,2.00000,15300,,,,45017
2024-11-17T10:07:35+00:00,250,34.00000,28900,,,,75020
2024-11-17T10:07:51+00:00,251,16.00000,35100,,,,90028
2024-11-17T10:08:20+00:00,252,22.00000,46200,,,,120036
2024-11-17T10:08:50+00:00,253,11.00000,58000,,,,150046
2024-11-17T10:09:20+00:00,254,15.00000,66200,,,,180053
2024-11-17T10:09:49+00:00,255,16.00000,2700,,,,15002
2024-11-17T10:10:04+00:00,256,12.00000,6600,,,,30006
2024-11-17T10:10:39+00:00,257,0,0,,,,
2024-11-17T10:10:55+00:00,258,0,0,,,,
2024-11-17T10:11:11+00:00,259,0,0,,,,
2024-11-17T10:11:27+00:00,260,0,0,,,,
2024-11-17T10:11:43+00:00,261,0,0,,,,
2024-11-17T10:11:59+00:00,262,0,0,,,,
2024-11-17T10:12:15+00:00,263,0,0,,,,
2024-11-17T10:12:31+00:00,264,0,0,,,,
2024-11-17T10:12:47+00:00,265,0,0,,,,
2024-11-17T10:13:03+00:00,266,0,0,,,,
2024-11-17T10:13:19+00:00,267,0,0,,,,
2024-11-17T10:13:35+00:00,268,0,0,,,,
2024-11-17T10:13:51+00:00,269,0,0,,,,
2024-11-17T10:14:07+00:00,270,0,0,,,,
2024-11-17T10:14:23+00:00,271,0,0,,,,
2024-11-17T10:14:39+00:00,272,26,1943,,,,
2024-11-17T10:14:55+00:00,273,0,3402,,,,
2024-11-17T10:15:11+00:00,274,22,4805,,,,
2024-11-17T10:15:27+00:00,275,0,4913,,,,
2024-11-17T10:15:43+00:00,276,0,4913,,,,
2024-11-17T10:15:59+00:00,277,0,4913,,,,
2024-11-17T10:16:15+00:00,278,0,4913,,,,
2024-11-17T10:16:31+00:00,279,0,4913,,,,
2024-11-17T10:16:47+00:00,280,0,4913,,,,
2024-11-17T10:17:03+00:00,281,0,4913,,,,
2024-11-17T10:17:19+00:00,282,37,7101,,,,
2024-11-17T10:17:35+00:00,283,44,12078,,,,
2024-11-17T10:17:51+00:00,284,0,14058,,,,
2024-11-17T10:18:07+00:00,285,0,14058,,,,
2024-11-17T10:18:23+00:00,286,0,14058,,,,
2024-11-17T10:18:39+00:00,287,0,14058,,,,
2024-11-17T10:18:55+00:00,288,0,14058,,,,
2024-11-17T10:19:11+00:00,289,0,14058,,,,
2024-11-17T10:19:27+00:00,290,0,14058,,,,
